x,y,theta
1.461,3.413,2
1.45903,3.4173,2.0011
1.44656,3.44425,2.00697
1.42423,3.49149,2.01774
1.40016,3.54094,2.02954
1.39127,3.55886,2.03395
1.36414,3.61237,2.04489
1.35957,3.62127,2.04787
1.35037,3.63902,2.05063
1.3411,3.65675,2.05426
1.32004,3.69652,2.06118
1.31297,3.70974,2.06336
1.28912,3.75369,2.07287
1.26236,3.80174,2.08336
1.23763,3.84519,2.09305
1.21249,3.88841,2.10336
1.18946,3.92708,2.11196
1.17651,3.94846,2.11811
1.14754,3.99521,2.1406
1.11693,4.0409,2.15648
1.10075,4.06616,2.12508
1.09275,4.07885,2.14039
1.07619,4.10386,2.1704
1.04733,4.14469,2.1801
1.03328,4.16537,2.15474
1.00173,4.21041,2.20913
0.964551,4.2575,2.26904
0.935331,4.29172,2.26626
0.901082,4.33475,2.21982
0.883177,4.35882,2.21225
0.852496,4.39829,2.25166
0.827204,4.42928,2.24397
0.80879,4.45296,2.21927
0.799803,4.46497,2.20727
0.772416,4.50068,2.24328
0.753463,4.52393,2.26692
0.714924,4.56991,2.24962
0.686356,4.60468,2.27601
0.676559,4.61604,2.28815
0.639531,4.6567,2.33187
0.60889,4.68965,2.30142
0.579453,4.72369,2.27274
0.55979,4.74634,2.29763
0.525858,4.78306,2.33628
0.4869,4.82188,2.372
0.45505,4.85367,2.35802
0.437162,4.87113,2.37897
0.404065,4.90162,2.41472
0.36994,4.93095,2.4413
0.350999,4.94726,2.41971
0.317104,4.97686,2.43987
0.290062,4.99908,2.46835
0.24257,5.03574,2.47684
0.207525,5.06397,2.46534
0.163876,5.09743,2.50962
0.143551,5.11198,2.5311
0.110401,5.13437,2.5658
0.0977554,5.14243,2.58026
0.0634584,5.16301,2.62224
0.0194704,5.18677,2.67083
-0.00294999,5.19783,2.69473
-0.0165215,5.20422,2.70888
-0.0531766,5.22022,2.75047
-0.07174,5.22767,2.77046
-0.0857626,5.23299,2.7864
-0.109307,5.2414,2.81043
-0.181033,5.26326,2.88142
-0.205271,5.26938,2.90759
-0.259102,5.28063,2.96353
-0.313471,5.28889,3.01849
-0.353201,5.29352,3.02376
-0.402819,5.29969,3.01111
-0.447552,5.30455,3.05606
-0.472484,5.30638,3.08084
-0.5274,5.30941,3.08183
-0.577355,5.3114,3.12598
-0.627347,5.31088,-3.10604
-0.647326,5.30997,-3.08578
-0.682232,5.30743,-3.05202
-0.731908,5.30178,-3.00582
-0.776342,5.29469,-2.96096
-0.825278,5.28446,-2.90961
-0.864013,5.27449,-2.87059
-0.89279,5.26602,-2.84002
-0.930753,5.25342,-2.80771
-0.978139,5.23746,-2.82603
-0.997177,5.23134,-2.83498
-1.05405,5.21225,-2.78968
-1.1052,5.19204,-2.75121
-1.16098,5.16993,-2.77702
-1.18907,5.1594,-2.78818
-1.24086,5.1409,-2.79799
-1.2922,5.12118,-2.76966
-1.3202,5.11042,-2.78014
-1.36244,5.0949,-2.79895
-1.40969,5.07854,-2.81769
-1.46681,5.0602,-2.84344
-1.51956,5.04462,-2.86594
-1.54848,5.03664,-2.87825
-1.60173,5.02288,-2.90045
-1.65039,5.0114,-2.91959
-1.70906,4.99883,-2.94099
